"Voltaje","Trat","emmean","SE","df","lower.CL","upper.CL","Channel","Concentration","Variable"
-75,"Control",0.992717976362412,0.0246397486028835,270.269084639671,0.94420772726129,1.04122822546353,"BgNav1","1","Var2"
-75,"Veneno",0.989588174647109,0.0245389347039445,270.269084639671,0.941276405953771,1.03789994334045,"BgNav1","1","Var2"
-70,"Control",0.989666101954019,0.0247725945910535,270.269084639671,0.940894308302177,1.03843789560586,"BgNav1","1","Var2"
-70,"Veneno",0.985500912211423,0.0246615862093372,270.269084639671,0.936947669663172,1.03405415475967,"BgNav1","1","Var2"
-65,"Control",0.979259313956528,0.0248411598269329,270.269084639671,0.930352530426104,1.02816609748695,"BgNav1","1","Var2"
-65,"Veneno",0.978611944535845,0.0247255425351123,270.269084639671,0.929932786039954,1.02729110303174,"BgNav1","1","Var2"
-60,"Control",0.944401822817277,0.0247525887544875,270.269084639671,0.895669416260285,0.99313422937427,"BgNav1","1","Var2"
-60,"Veneno",0.951246916443241,0.0246426850782867,270.269084639671,0.902730886067498,0.999762946818985,"BgNav1","1","Var2"
-55,"Control",0.846504956123119,0.0246892635728184,270.269084639671,0.797897222929749,0.895112689316488,"BgNav1","1","Var2"
-55,"Veneno",0.84387739599231,0.0245835726866814,270.269084639671,0.795477744922539,0.892277047062081,"BgNav1","1","Var2"
-50,"Control",0.654155704751566,0.0247592576858907,270.269084639671,0.605410168534494,0.702901240968639,"BgNav1","1","Var2"
-50,"Veneno",0.639562421306729,0.0246489841373456,270.269084639671,0.591033989468252,0.688090853145206,"BgNav1","1","Var2"
-45,"Control",0.412505963744663,0.0248222038304687,270.269084639671,0.363636500404686,0.461375427084639,"BgNav1","1","Var2"
-45,"Veneno",0.409615279216329,0.0247077949424106,270.269084639671,0.360971061829488,0.458259496603169,"BgNav1","1","Var2"
-40,"Control",0.218200504586439,0.0247592576858918,270.269084639671,0.169454968369364,0.266946040803513,"BgNav1","1","Var2"
-40,"Veneno",0.220215851332303,0.0246489841373467,270.269084639671,0.171687419493824,0.268744283170781,"BgNav1","1","Var2"
-35,"Control",0.114179837637175,0.0246892635728179,270.269084639671,0.0655721044438058,0.162787570830543,"BgNav1","1","Var2"
-35,"Veneno",0.0900632181238689,0.024583572686681,270.269084639671,0.0416635670540987,0.138462869193639,"BgNav1","1","Var2"
-30,"Control",0.0738257877822793,0.0247525887544882,270.269084639671,0.0250933812252855,0.122558194339273,"BgNav1","1","Var2"
-30,"Veneno",0.0224909979553856,0.0246426850782874,270.269084639671,-0.0260250324203593,0.0710070283311304,"BgNav1","1","Var2"
-25,"Control",0.0583094128906018,0.0248411598269356,270.269084639671,0.0094026293601726,0.107216196421031,"BgNav1","1","Var2"
-25,"Veneno",-0.00121823277257922,0.0247255425351148,270.269084639671,-0.0498973912684751,0.0474609257233167,"BgNav1","1","Var2"
-20,"Control",0.0466460824808236,0.024772594591054,270.269084639671,-0.00212571117101949,0.0954178761326667,"BgNav1","1","Var2"
-20,"Veneno",-0.0102908563880507,0.0246615862093379,270.269084639671,-0.0588440989363031,0.0382623861602016,"BgNav1","1","Var2"
-15,"Control",0.0368661137430367,0.0246397486028836,270.269084639671,-0.0116441353580851,0.0853763628441584,"BgNav1","1","Var2"
-15,"Veneno",-0.0131424921722441,0.0245389347039446,270.269084639671,-0.0614542608655821,0.0351692765210939,"BgNav1","1","Var2"
-10,"Control",0.0316367585162966,0.0248380601950988,270.269084639671,-0.0172639225203553,0.0805374395529485,"BgNav1","1","Var2"
-10,"Veneno",-0.0119386588172098,0.0247421597382095,270.269084639671,-0.060650532933483,0.0367732152990635,"BgNav1","1","Var2"
-5,"Control",0.0288599142188977,0.0253611091255375,270.269084639671,-0.0210705351939089,0.0787903636317044,"BgNav1","1","Var2"
-5,"Veneno",-0.0100757687766231,0.0252176979698391,270.269084639671,-0.0597238731461044,0.0395723355928581,"BgNav1","1","Var2"
0,"Control",0.0269253672772207,0.0291550470203148,270.269084639671,-0.0304745119303483,0.0843252464847896,"BgNav1","1","Var2"
0,"Veneno",-0.00519434656071471,0.0290989288363984,270.269084639671,-0.0624837413991141,0.0520950482776847,"BgNav1","1","Var2"
-90,"Control",-0.0768322877174921,0.464185983837674,540.5614458711,-0.98866168444498,0.834997109009996,"BgNav1","2","Corriente"
-90,"Veneno",-0.0873190307156718,0.468618476233398,540.5614458711,-1.00785544792184,0.833217386490499,"BgNav1","2","Corriente"
-85,"Control",-0.0210725236555778,0.365370565226453,540.5614458711,-0.738792648072179,0.696647600761024,"BgNav1","2","Corriente"
-85,"Veneno",-0.0255998271052558,0.367111350506663,540.5614458711,-0.746739484310768,0.695539830100256,"BgNav1","2","Corriente"
-80,"Control",0.0154777117305125,0.364288579879888,540.5614458711,-0.700117001578952,0.731072425039977,"BgNav1","2","Corriente"
-80,"Veneno",-0.00559964888599187,0.36919320827337,540.5614458711,-0.730828828777638,0.719629531005654,"BgNav1","2","Corriente"
-75,"Control",0.0504194166258614,0.359279136005105,540.5614458711,-0.655334934532812,0.756173767784535,"BgNav1","2","Corriente"
-75,"Veneno",0.00537547159251515,0.362628761265192,540.5614458711,-0.706958756784589,0.71770969996962,"BgNav1","2","Corriente"
-70,"Control",0.100225177086366,0.360250771319045,540.5614458711,-0.607437817747466,0.807888171920198,"BgNav1","2","Corriente"
-70,"Veneno",0.0705269250107688,0.364197994606705,540.5614458711,-0.644889846012897,0.785943696034435,"BgNav1","2","Corriente"
-65,"Control",0.0886387756571469,0.357219936946582,540.5614458711,-0.613070562725072,0.790348114039365,"BgNav1","2","Corriente"
-65,"Veneno",0.135415516649133,0.360950346150027,540.5614458711,-0.573621696533186,0.844452729831451,"BgNav1","2","Corriente"
-60,"Control",-0.169128351065602,0.358093170855808,540.5614458711,-0.872553037123915,0.534296334992711,"BgNav1","2","Corriente"
-60,"Veneno",-0.0295615844027688,0.3621760235743,540.5614458711,-0.741006471976972,0.681883303171434,"BgNav1","2","Corriente"
-55,"Control",-0.838924288197659,0.357784741473246,540.5614458711,-1.54174310723795,-0.136105469157368,"BgNav1","2","Corriente"
-55,"Veneno",-0.675842146205486,0.361804057330055,540.5614458711,-1.38655635735278,0.0348720649418049,"BgNav1","2","Corriente"
